date,crudedaily.rets
4/14/1989,2.101225609
4/17/1989,2.577708355
4/18/1989,2.374966108
4/19/1989,4.146605766
4/20/1989,8.339926883
4/21/1989,-5.167816471
4/24/1989,-12.5134629
4/25/1989,3.243011903
4/26/1989,-0.564707383
4/27/1989,-1.761530909
4/28/1989,-2.136003539
5/1/1989,1.36454359
5/2/1989,-4.656611452
5/3/1989,2.057789048
5/4/1989,2.162246401
5/5/1989,-2.460754086
5/8/1989,-3.395309674
5/9/1989,0.667867882
5/10/1989,0.153491972
5/11/1989,2.872457505
5/12/1989,-0.099403587
5/15/1989,2.018281652
5/16/1989,0.243368336
5/17/1989,-2.062941527
5/18/1989,0.445655603
5/19/1989,1.617285925
5/22/1989,1.639380978
5/23/1989,3.984590855
5/24/1989,-10.04705304
5/25/1989,-1.175582156
5/26/1989,0.461657655
5/29/1989,0
5/30/1989,2.076549672
5/31/1989,-0.150489118
6/1/1989,-0.503272325
6/2/1989,1.750482306
6/5/1989,1.622853418
6/6/1989,-0.587085835
6/7/1989,-3.444313514
6/8/1989,1.261687188
6/9/1989,-0.402010592
6/12/1989,-2.91208317
6/13/1989,1.082763865
6/14/1989,4.315772611
6/15/1989,0.928874926
6/16/1989,-2.862979351
6/19/1989,4.456061559
6/20/1989,-4.907756179
6/21/1989,-0.757388119
6/22/1989,-1.070073905
6/23/1989,0.968654018
6/26/1989,2.80158393
6/27/1989,0.541206733
6/28/1989,-1.732287812
6/29/1989,1.141734914
6/30/1989,0.09866799
7/3/1989,1.322576222
7/4/1989,-1.322576222
7/5/1989,3.393442425
7/6/1989,-3.048869108
7/7/1989,2.0428726
7/10/1989,-1.895561009
7/11/1989,1.751017501
7/12/1989,-2.687677048
7/13/1989,1.132738041
7/14/1989,-0.343390085
7/17/1989,0.636788828
7/18/1989,-1.376619576
7/19/1989,-1.899107551
7/20/1989,0.503272325
7/21/1989,-0.301659354
7/24/1989,-5.698071504
7/25/1989,-1.287571436
7/26/1989,-1.085786997
7/27/1989,-0.987391456
7/28/1989,-0.997238181
7/31/1989,2.039199898
8/1/1989,-2.3738349
8/2/1989,2.100685318
8/3/1989,-0.603568362
8/4/1989,-0.662619763
8/7/1989,-0.778646871
8/8/1989,0.778646871
8/9/1989,0.992290391
8/10/1989,1.847878667
8/11/1989,-0.648300488
8/14/1989,0.755943125
8/15/1989,0.963604887
8/16/1989,1.112594258
8/17/1989,-1.646783563
8/18/1989,0.747068576
8/21/1989,1.529969174
8/22/1989,-0.524935589
8/23/1989,0.786373646
8/24/1989,-0.681165851
8/25/1989,-2.610001682
8/28/1989,0.80623925
8/29/1989,-0.536769942
8/30/1989,1.389653576
8/31/1989,-0.106213499
9/1/1989,0.318302656
9/4/1989,0
9/5/1989,1.001325889
9/6/1989,1.715664646
9/7/1989,-0.051559681
9/8/1989,1.890222307
9/11/1989,0
9/12/1989,-0.456505992
9/13/1989,0.961302622
9/14/1989,-0.656733858
9/15/1989,1.10888233
9/18/1989,-0.401808677
9/19/1989,-1.011642416
9/20/1989,0
9/21/1989,0.050825922
9/22/1989,-2.469261259
9/25/1989,1.499123449
9/26/1989,0.613812669
9/27/1989,-0.051007397
9/28/1989,1.920220698
9/29/1989,0.797611407
10/2/1989,-0.747573878
10/3/1989,0.747573878
10/4/1989,0.099255591
10/5/1989,-1.047129987
10/6/1989,-0.351494211
10/9/1989,0.751694845
10/10/1989,0.845145473
10/11/1989,-0.148625244
