roilf	roilf1
2.231612832	-0.786741906
-1.3609431	2.231612832
-4.255961442	-1.3609431
0.349548856	-4.255961442
-0.029082449	0.349548856
1.701555112	-0.029082449
3.318639753	1.701555112
2.701760732	3.318639753
0	2.701760732
1.867218826	0
-1.678920183	1.867218826
-1.325597661	-1.678920183
2.288429383	-1.325597661
0.451468035	2.288429383
-0.851521909	0.451468035
0.479872955	-0.851521909
-5.101337836	0.479872955
2.705852547	-5.101337836
-0.683342826	2.705852547
1.38910037	-0.683342826
1.50338402	1.38910037
-0.186691613	1.50338402
-0.401230978	-0.186691613
0.187441479	-0.401230978
2.196145943	0.187441479
1.995143262	2.196145943
1.502256132	1.995143262
-0.506715044	1.502256132
1.412381612	-0.506715044
-2.536275945	1.412381612
2.861316862	-2.536275945
1.756818659	2.861316862
0.757486823	1.756818659
0.727628726	0.757486823
0.409984898	0.727628726
-2.460838028	0.409984898
2.340428621	-2.460838028
-1.407448615	2.340428621
